t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
13.5500000,-0.9354893,-1.3672893,-0.9354893,-1.3672893,-0.4609882,-1.4446838,9.2325072
13.6500000,-0.9354893,-1.3672893,-0.9354893,-1.3672893,-0.5926521,-1.4232087,9.2446061
13.8000000,-1.0525105,-1.3672893,-1.0525105,-1.3672893,-0.7700644,-1.4016369,9.2733605
13.9000000,-1.1601896,-1.2283899,-1.1601896,-1.2283899,-0.8777173,-1.3536760,9.1792899
14.0500000,-1.2575708,-1.2283899,-1.2575708,-1.2283899,-1.0136594,-1.3053523,9.1427079
14.1500000,-1.3699135,-1.2283899,-1.3699135,-1.2283899,-1.0813430,-1.2839957,9.1374583
14.2500000,-1.4180809,-0.7225483,-1.4180809,-0.9754691,-1.1613811,-1.2685766,9.1620045
14.4000000,-1.4180809,-0.9754691,-1.4180809,-0.9754691,-1.2547266,-1.1301450,8.8614984
14.5500000,-1.4797852,-0.7806788,-1.4797852,-0.7806788,-1.3403163,-0.9962264,8.6711667
14.6500000,-1.5415480,-0.5882405,-1.5415480,-0.5882405,-1.3876985,-0.9081498,8.5710513
14.8000000,-1.5719548,-0.4186068,-1.5719548,-0.4186068,-1.4510494,-0.7600286,8.4285220
14.9000000,-1.5884089,-0.2592705,-1.5884089,-0.2592705,-1.4844162,-0.6655871,8.3570997
15.0000000,-1.5884089,-0.2592705,-1.5884089,-0.2592705,-1.5130307,-0.5533143,8.2692653
15.1500000,-1.5907641,-0.2592705,-1.5907641,-0.2592705,-1.5427224,-0.4399669,8.2151020
15.2500000,-1.5907641,0.0847879,-1.5907641,0.0847879,-1.5558351,-0.3388540,8.1391079
15.4000000,-1.5633587,0.0847879,-1.5633587,0.0847879,-1.5615794,-0.1759206,8.0247249
15.5000000,-1.5633587,0.3542181,-1.5633587,0.3542181,-1.5620374,-0.0634069,7.9676397
15.6500000,-1.5633587,0.5626149,-1.5633587,0.5626149,-1.5625373,0.0976389,7.9182630
15.7500000,-1.4180809,0.6425816,-1.4180809,0.6425816,-1.5627630,0.2266294,7.8942587
15.9000000,-1.4180809,0.6425816,-1.4180809,0.6425816,-1.5069692,0.3858423,7.7215472
16.0500000,-1.3163396,0.7685825,-1.3163396,0.7685825,-1.4445901,0.5190908,7.5926255
16.1500000,-1.2263099,0.7685825,-1.2263099,0.7685825,-1.3957207,0.5876151,7.4980066
16.2500000,-1.1253954,0.9469890,-1.1253954,0.9469890,-1.3488938,0.6373839,7.4141653
16.4000000,-1.1253954,1.1321264,-1.1253954,1.1321264,-1.2518190,0.7936802,7.3644547
