t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
11.8000000,0.7225483,-1.4180809,1.1197073,-0.9916021,0.9700172,-1.2203359,6.0280514
11.9000000,0.5858884,-1.4797852,1.0396345,-1.0648295,0.8975063,-1.2737685,5.7840613
12.0500000,0.4440281,-1.5283549,1.0396345,-1.1934578,0.7708606,-1.3478390,5.3363473
12.1500000,0.4440281,-1.5283549,1.0396345,-1.1934578,0.6764229,-1.3907617,4.9929704
12.3000000,0.2982266,-1.5633587,0.9284233,-1.2489430,0.5457223,-1.4445477,4.5380329
12.4000000,0.1497780,-1.5844861,0.8116265,-1.2992744,0.4562982,-1.4757448,4.2716307
12.5500000,-0.0000000,-1.5915494,0.8116265,-1.3803807,0.3181685,-1.5149416,3.9472462
12.6500000,-0.1497780,-1.5844861,0.6674158,-1.4109965,0.2310610,-1.5351073,3.7946964
12.8000000,-0.2982266,-1.5633587,0.5225695,-1.4338509,0.0857397,-1.5531185,3.5820645
12.9000000,-0.2982266,-1.5633587,0.5225695,-1.4338509,-0.0197053,-1.5555064,3.4509500
13.0500000,-0.4440281,-1.5283549,0.3775798,-1.4480265,-0.1666678,-1.5485859,3.3024951
13.1500000,-0.5858884,-1.4797852,0.2330596,-1.4527903,-0.2643019,-1.5356135,3.2134505
13.3000000,-0.7225483,-1.4180809,0.0897184,-1.4475839,-0.4082217,-1.5048081,3.0941047
13.4000000,-0.8527948,-1.3437896,-0.1718290,-1.4475839,-0.4951858,-1.4807601,3.0326424
13.5500000,-0.9754719,-1.2575708,-0.2923754,-1.4190819,-0.6326969,-1.4279800,2.9263578
13.6500000,-0.9754719,-1.2575708,-0.2923754,-1.4190819,-0.7273969,-1.3807968,2.8474882
13.8000000,-1.0894906,-1.1601896,-0.4119427,-1.3802481,-0.8543228,-1.3063800,2.7477562
13.9000000,-1.1938388,-1.0525105,-0.5292271,-1.3310874,-0.9349047,-1.2498098,2.6808112
14.0500000,-1.2875905,-0.9354893,-0.6429816,-1.2717477,-1.0484866,-1.1563466,2.5839822
14.1500000,-1.3699135,-0.8101646,-0.7520214,-1.2025102,-1.1146797,-1.0951619,2.5318193
14.3000000,-1.4400770,-0.6776488,-0.8552298,-1.1237810,-1.2128544,-0.9854258,2.4363104
14.4000000,-1.4400770,-0.6776488,-0.8552298,-1.1237810,-1.2756287,-0.9002703,2.3627143
14.5500000,-1.4974583,-0.5391181,-0.9515640,-1.0360816,-1.3547199,-0.7762355,2.2678830
14.6500000,-1.5415480,-0.3958022,-1.0400616,-0.9400397,-1.4007333,-0.6892051,2.2031795
14.8000000,-1.5719548,-0.2489732,-1.1198456,-0.8363797,-1.4593914,-0.5543277,2.1086536
14.9000000,-1.5884089,-0.0999342,-1.1901301,-0.7259129,-1.4905377,-0.4697500,2.0574487
15.0500000,-1.5907641,0.0499918,-1.2502252,-0.6095272,-1.5281370,-0.3273933,1.9630638
15.1500000,-1.5907641,0.0499918,-1.2502252,-0.6095272,-1.5453838,-0.2230160,1.8900235
15.3000000,-1.5789996,0.1994740,-1.2995414,-0.4881770,-1.5595163,-0.0765924,1.7957120
15.4000000,-1.5532198,0.3471858,-1.3375931,-0.3628726,-1.5609909,0.0218418,1.7312479
15.5500000,-1.5136535,0.4918158,-1.3640022,-0.2346693,-1.5520092,0.1686475,1.6369696
15.6500000,-1.4606519,0.6320805,-1.3784996,-0.1046569,-1.5413571,0.2581456,1.5858681
15.8000000,-1.3946854,0.7667348,-1.3809275,0.0260519,-1.5102235,0.4020548,1.4916053
15.9000000,-1.3946854,0.7667348,-1.3809275,0.0260519,-1.4782015,0.5028848,1.4186256
16.0500000,-1.3163396,0.8945835,-1.3712393,0.1563316,-1.4243158,0.6397642,1.3243708
16.1500000,-1.2263099,1.0144918,-1.3494999,0.2850557,-1.3809402,0.7281386,1.2599330
16.3000000,-1.1253954,1.1253954,-1.3158842,0.4111066,-1.3062878,0.8548651,1.1656819
16.4000000,-1.0144918,1.2263099,-1.2706754,0.5333871,-1.2561649,0.9297722,1.1145917
16.5500000,-0.8945835,1.3163396,-1.2142616,0.6508300,-1.1630908,1.0438614,1.0203423
16.6500000,-0.8945835,1.3163396,-1.2142616,0.6508300,-1.0887828,1.1191638,0.9473692
16.8000000,-0.7667348,1.3946854,-1.1471326,0.7624083,-0.9786281,1.2166604,0.8531207
16.9000000,-0.6320805,1.4606519,-1.0698747,0.8671448,-0.8998590,1.2757103,0.7886858
17.0500000,-0.4918158,1.5136535,-0.9831659,0.9641211,-0.7758104,1.3547329,0.6944376
17.1500000,-0.3471858,1.5532198,-0.8877689,1.0524859,-0.6971435,1.3987202,0.6433487
17.3000000,-0.1994740,1.5789996,-0.7845247,1.1314630,-0.5624183,1.4581196,0.5491007
17.4000000,-0.1994740,1.5789996,-0.7845247,1.1314630,-0.4620229,1.4914794,0.4761284
17.5500000,-0.0499918,1.5907641,-0.6743447,1.2003581,-0.3196118,1.5283403,0.3818806
17.6500000,0.0999342,1.5884089,-0.5582029,1.2585657,-0.2226199,1.5451937,0.3174460
17.8000000,0.2489732,1.5719548,-0.4371265,1.3055741,-0.0762163,1.5592865,0.2231981
17.9000000,0.3958022,1.5415480,-0.3121872,1.3409702,0.0138463,1.5627654,0.1721094
18.0500000,0.5391181,1.4974583,-0.1844914,1.3644434,0.1608541,1.5545267,0.0778616
