t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
16.5000000,-1.0525105,1.0730883,-1.0525105,1.0730883,-1.1959118,0.8641354,7.3232806
16.6500000,-1.0525105,1.2339650,-1.0525105,1.2339650,-1.1407006,0.9891908,7.3732587
16.8000000,-0.8101646,1.3019392,-0.8101646,1.3019392,-1.0137122,1.1089474,7.2156653
16.9000000,-0.8101646,1.4055425,-0.8101646,1.4055425,-0.9572330,1.1912455,7.2269138
17.0000000,-0.8101646,1.4744793,-0.8101646,1.4744793,-0.9164666,1.2609898,7.2528343
17.1500000,-0.3471858,1.5138495,-0.3471858,1.5138495,-0.8754819,1.3433178,7.2912487
17.3000000,-0.3471858,1.5138495,-0.3471858,1.5138495,-0.6755409,1.4045289,6.9190006
17.4000000,-0.3471858,1.5627121,-0.3471858,1.5627121,-0.5846102,1.4482925,6.8615340
17.5500000,-0.0499918,1.5767381,-0.0499918,1.5767381,-0.4117634,1.4956431,6.7037952
17.6500000,-0.0499918,1.5854912,-0.0499918,1.5854912,-0.3115954,1.5193656,6.6454017
17.8000000,0.1994740,1.5822454,0.1994740,1.5822454,-0.1420027,1.5437926,6.5386301
17.9000000,0.3958022,1.5822454,0.3958022,1.5822454,-0.0473612,1.5544344,6.4967868
18.0000000,0.3958022,1.5822454,0.3958022,1.5822454,0.0754052,1.5621108,6.4412752
18.1500000,0.5391181,1.5822454,0.5391181,1.5822454,0.2386971,1.5698651,6.3906624
18.2500000,0.5391181,1.4756191,0.5391181,1.4756191,0.3215085,1.5572633,6.3204492
18.4000000,0.7667348,1.4351522,0.7667348,1.4351522,0.4678685,1.5145477,6.1863328
18.5500000,0.8945835,1.3757459,0.8945835,1.3757459,0.6179530,1.4599561,6.0743177
18.6500000,1.0144918,1.3010279,1.0144918,1.3010279,0.7125316,1.4254205,6.0294238
18.7500000,1.0144918,1.3010279,1.0144918,1.3010279,0.7962279,1.3909284,5.9912376
18.9000000,1.0144918,1.1693035,1.0144918,1.1693035,0.8792967,1.3058454,5.8211009
19.0000000,1.2263099,1.1693035,1.2263099,1.1693035,0.9755456,1.2679780,5.8485803
19.1500000,1.3437896,1.1693035,1.3437896,1.1693035,1.0898096,1.2299552,5.8909777
19.2500000,1.3437896,0.8342371,1.3437896,0.8342371,1.1602070,1.2131570,5.9266802
19.4000000,1.4606519,0.7331588,1.4606519,0.7331588,1.2434461,1.0396159,5.5533641
19.5500000,1.4606519,0.7331588,1.4606519,0.7331588,1.3270004,0.9216121,5.4618328
19.6500000,1.5283549,0.5885935,1.5283549,0.5885935,1.3826690,0.8294340,5.3947950
19.8000000,1.5633587,0.5885935,1.5633587,0.5885935,1.4485735,0.7365316,5.3746775
19.9000000,1.5633587,0.2594819,1.5633587,0.2594819,1.4795213,0.6473578,5.2731172
